종목명,현재가,전일비,등락률,거래량,거래대금,시가총액
삼성전자,"183,700","하락5,300",-2.80%,"8,146,115","1,503,023","10,874,375"
SK하이닉스,"959,000","하락36,000",-3.62%,"1,070,445","1,031,011","6,834,816"
현대차,"494,000","하락7,000",-1.40%,"211,737","104,802","1,011,503"
LG에너지솔루션,"387,500","하락6,500",-1.65%,"58,300","22,759","906,750"
SK스퀘어,"574,000","하락31,000",-5.12%,"135,633","78,950","758,180"
삼성바이오로직스,"1,589,000","상승4,000",+0.25%,"6,460","10,354","735,563"
한화에어로스페이스,"1,411,000","상승11,000",+0.79%,"41,159","57,957","727,560"
두산에너빌리티,"102,400",하락200,-0.19%,"617,211","63,309","655,935"
기아,"155,750","하락2,150",-1.36%,"210,995","32,865","608,068"
KB금융,"151,800","상승2,400",+1.61%,"225,224","34,020","565,987"
HD현대중공업,"519,000","하락4,000",-0.76%,"45,115","23,589","544,749"
삼성물산,"284,500","하락4,500",-1.56%,"71,857","20,685","483,583"
셀트리온,"205,000","상승1,500",+0.74%,"111,210","22,863","473,649"
삼성생명,"226,500","하락1,000",-0.44%,"36,719","8,312","453,000"
신한지주,"93,500","상승1,400",+1.52%,"188,449","17,564","443,802"
한화오션,"128,200","상승3,500",+2.81%,"369,929","47,557","392,822"
미래에셋증권,"67,900",상승600,+0.89%,"1,473,731","99,832","377,060"
현대모비스,"399,000","하락3,000",-0.75%,"41,211","16,395","362,023"
HD현대일렉트릭,"979,000","하락13,000",-1.31%,"22,927","22,711","352,901"
삼성전기,"457,000","상승2,500",+0.55%,"167,857","77,056","341,350"
NAVER,"215,250",하락250,-0.12%,"81,659","17,636","337,625"
삼성SDI,"406,000","상승2,000",+0.50%,"136,443","55,613","327,177"
고려아연,"1,564,000","하락29,000",-1.82%,"2,857","4,497","326,453"
하나금융지주,"108,900",상승200,+0.18%,"140,432","15,317","303,097"
한국전력,"46,100",하락350,-0.75%,"403,137","18,568","295,945"
POSCO홀딩스,"347,500","상승5,500",+1.61%,"83,690","29,095","281,242"
한미반도체,"293,500","하락6,500",-2.17%,"123,703","36,364","279,741"
효성중공업,"2,918,000","하락72,000",-2.41%,"12,294","36,755","272,090"
HD한국조선해양,"381,000","하락4,000",-1.04%,"44,406","17,105","269,646"
한화시스템,"135,300","하락1,300",-0.95%,"313,510","42,362","255,608"
SK,"348,000","상승2,000",+0.58%,"26,847","9,339","252,309"
LS ELECTRIC,"841,000","하락3,000",-0.36%,"20,360","17,326","252,300"
우리금융지주,"33,000",보합0,0.00%,"168,570","5,564","242,245"
삼성중공업,"26,900",상승50,+0.19%,"855,016","23,250","236,720"
LG화학,"320,250","상승2,250",+0.71%,"47,721","15,306","226,072"
카카오,"49,250",상승200,+0.41%,"228,773","11,272","218,062"
삼성화재,"466,000","하락24,000",-4.90%,"20,620","9,663","214,412"
HD현대,"269,500","상승4,500",+1.70%,"20,264","5,433","212,886"
현대로템,"191,300",상승600,+0.31%,"201,416","38,547","208,789"
두산,"1,238,000","하락12,000",-0.96%,"12,112","15,120","200,480"
메리츠금융지주,"115,100","상승3,700",+3.32%,"54,743","6,239","194,520"
SK이노베이션,"111,800","하락2,300",-2.02%,"57,249","6,446","189,001"
HMM,"19,920",하락10,-0.05%,"355,077","7,087","187,893"
기업은행,"23,500",상승100,+0.43%,"122,944","2,884","187,395"
LG전자,"113,900",하락800,-0.70%,"103,653","11,830","185,528"
포스코퓨처엠,"207,750","상승5,250",+2.59%,"99,257","20,570","184,786"
한국항공우주,"187,600","상승2,600",+1.41%,"243,491","45,725","182,863"
KT&G,"156,800",상승900,+0.58%,"34,112","5,366","179,813"
SK텔레콤,"80,700",상승900,+1.13%,"185,233","14,942","173,336"
현대건설,"154,600","하락3,300",-2.09%,"194,611","30,336","172,156"
현대글로비스,"229,500",보합0,0.00%,"13,115","2,996","172,125"
LIG넥스원,"743,000","상승9,000",+1.23%,"147,454","110,521","163,460"
KT,"60,500",상승400,+0.67%,"50,042","3,025","152,473"
LG,"88,400",하락400,-0.45%,"56,568","4,982","136,332"
삼성에피스홀딩스,"544,000","상승4,000",+0.74%,"12,898","7,081","135,364"
포스코인터내셔널,"75,200",하락600,-0.79%,"89,276","6,722","132,294"
하이브,"305,000",상승500,+0.16%,"59,847","18,145","131,357"
S-Oil,"112,100","하락1,200",-1.06%,"56,823","6,395","126,205"
DB손해보험,"181,500","하락13,200",-6.78%,"47,675","8,734","125,932"
에이피알,"328,500",보합0,0.00%,"69,313","22,745","122,984"
삼성에스디에스,"158,800",하락700,-0.44%,"12,847","2,043","122,876"
한국금융지주,"219,000","하락1,500",-0.68%,"34,512","7,515","122,040"
NH투자증권,"34,050",하락250,-0.73%,"142,326","4,836","121,335"
카카오뱅크,"24,500",하락50,-0.20%,"106,774","2,612","116,876"
크래프톤,"243,000","상승2,500",+1.04%,"26,316","6,425","115,197"
키움증권,"429,500","하락2,500",-0.58%,"16,066","6,861","112,579"
현대오토에버,"397,500","하락8,000",-1.97%,"16,033","6,400","109,010"
대한항공,"25,050",하락350,-1.38%,"245,891","6,172","92,239"
삼양식품,"1,218,000","상승2,000",+0.16%,"5,848","7,165","91,752"
한화,"120,100","상승3,400",+2.91%,"48,855","5,798","90,025"
LS,"284,500","상승1,000",+0.35%,"33,680","9,651","88,764"
삼성증권,"97,400",하락400,-0.41%,"40,071","3,892","86,978"
이수페타시스,"118,300","하락2,000",-1.66%,"246,778","29,220","86,843"
한진칼,"123,000","하락3,700",-2.92%,"21,667","2,673","82,118"
아모레퍼시픽,"137,600",상승800,+0.58%,"20,026","2,745","80,486"
HD현대마린솔루션,"179,100","하락2,300",-1.27%,"10,847","1,963","80,293"
유한양행,"100,200","상승1,300",+1.31%,"66,039","6,635","79,807"
한화솔루션,"44,650",하락350,-0.78%,"775,800","35,257","76,750"
SK바이오팜,"97,300",상승100,+0.10%,"35,416","3,469","76,199"
LG이노텍,"311,000","하락2,000",-0.64%,"63,370","20,020","73,605"
카카오페이,"53,300",하락700,-1.30%,"102,638","5,503","72,075"
한국타이어앤테크놀로지,"57,700",하락400,-0.69%,"49,880","2,891","71,476"
한미약품,"550,000","상승9,000",+1.66%,"19,820","10,864","70,460"
LG유플러스,"15,850",상승250,+1.60%,"113,294","1,780","68,128"
대우건설,"16,000",하락410,-2.50%,"6,058,072","96,926","66,500"
GS,"69,300",하락900,-1.28%,"31,889","2,209","64,390"
삼성E&A,"32,600","하락1,100",-3.26%,"595,852","19,659","63,896"
삼성카드,"55,100","하락1,300",-2.30%,"27,613","1,530","63,838"
한전기술,"165,900","하락2,900",-1.72%,"34,800","5,803","63,407"
CJ,"210,500",상승500,+0.24%,"12,062","2,532","61,418"
LG씨엔에스,"61,900",하락600,-0.96%,"92,744","5,775","59,972"
두산밥캣,"61,600",하락100,-0.16%,"41,782","2,571","59,047"
엘앤에프,"145,400",상승100,+0.07%,"276,947","39,809","58,628"
LG디스플레이,"11,600",하락150,-1.28%,"613,226","7,166","58,000"
BNK금융지주,"18,600",상승150,+0.81%,"78,867","1,461","57,721"
JB금융지주,"30,050",상승400,+1.35%,"46,130","1,374","56,570"
두산로보틱스,"87,100","하락1,700",-1.91%,"27,813","2,431","56,458"
대한전선,"29,850",하락450,-1.49%,"580,422","17,578","55,655"
산일전기,"174,100","상승8,300",+5.01%,"308,719","54,080","53,179"
오리온,"133,400",하락700,-0.52%,"16,692","2,216","52,741"
코웨이,"73,200",하락900,-1.21%,"30,404","2,240","51,802"
에코프로머티,"71,500","상승1,100",+1.56%,"429,907","30,446","50,450"
엔씨소프트,"224,500","하락3,000",-1.32%,"20,936","4,778","48,366"
포스코DX,"31,350",하락150,-0.48%,"45,500","1,433","47,663"
현대제철,"35,550",하락150,-0.42%,"92,651","3,288","47,440"
KCC,"524,000","하락9,000",-1.69%,"2,201","1,156","46,565"
한화엔진,"51,600","상승2,850",+5.85%,"515,818","26,824","43,059"
넷마블,"51,900",상승500,+0.97%,"48,288","2,535","42,537"
한화생명,"4,890",하락80,-1.61%,"1,607,146","7,855","42,471"
한온시스템,"3,945",하락110,-2.71%,"1,909,599","7,581","40,486"
강원랜드,"18,150",상승10,+0.06%,"81,188","1,472","38,830"
SKC,"101,000","하락1,100",-1.08%,"23,288","2,352","38,247"
LG생활건강,"243,500","하락3,000",-1.22%,"6,328","1,542","37,261"
영원무역,"82,400",상승600,+0.73%,"7,003",571,"36,513"
OCI홀딩스,"189,600","상승6,800",+3.72%,"98,436","19,006","35,399"
롯데케미칼,"80,100",상승300,+0.38%,"30,703","2,450","34,263"
현대엘리베이터,"87,600",하락400,-0.45%,"16,370","1,433","34,245"
SK바이오사이언스,"43,300",상승500,+1.17%,"16,146",701,"33,962"
금호석유화학,"129,100",하락900,-0.69%,"6,558",850,"33,607"
한국가스공사,"36,000",보합0,0.00%,"27,119",976,"33,233"
에스원,"87,400",상승500,+0.58%,"6,918",605,"33,211"
CJ제일제당,"218,500",하락500,-0.23%,"5,086","1,105","32,893"
한올바이오파마,"62,400","상승4,500",+7.77%,"371,415","22,726","32,598"
한솔케미칼,"286,500","상승4,000",+1.42%,"10,537","3,027","32,576"
롯데쇼핑,"115,100","상승3,800",+3.41%,"28,577","3,256","32,560"
